,country_eng_nm,country_iso_alp2,country_nm,field,koreanwave_cn,written_year
10,Gabon,GA,가봉,한식,매운 맛을 좋아하는 가봉 사람의 입맛에 한국 음식이 잘 맞아 수도 리브르빌에 위치한 유일한 한국 식당에 방문하는 가봉 사람의 수가 점차 증가하고 있다.,2019.0
11,Gabon,GA,가봉,태권도,가봉에서는 주가봉 대사관이 후원하는 대회를 비롯해 크고 작은 태권도 대회가 열리고 있으며  가봉 전역에 약 60여개의 태권도 클럽이 운영 중이다.,2019.0
12,Guatemala,GT,과테말라,드라마,"그간 2006년 <겨울연가>를 시작으로 <대장금>  <드림하이>  <아가씨를 부탁해> 등이 꾸준히 방영되었지만  미국  멕시코  콜롬비아 제작 드라마들이 워낙 많이 방영되다보니 반짝 인기만 끄는 경우가 많았다. 하지만 최근 유튜브  넷플릭스 활성화 및 BTS  블랙핑크 등 전 세계적인 인기의 K-Pop 그룹 등의 영향으로 한국 드라마에 대한 인지도와 관심도 높아지고 있다. 
2019.9월부터 박보검  김유정 주연의 ‘구르미 그린 달빛’이 과테비전을 통해 절찬리에 방영중이다.",2019.0
13,Guatemala,GT,과테말라,영화,"대형 영화관에서 상영된 한국 영화는 2017년 1월 부산행(Estación Zombie)이 유일했으나  이 후 BTS 관련 영화들이 꾸준히 개봉되고 있다. 최근 유튜브  넷플릭스의 활성화로 한국영화를 접하는 경우가 늘어나고 있으며  영화전문 케이블 채널들에서도 심심치 않게 한국의 인기영화들(부산행  곡성  끝까지 간다 등)이 방영되고 있어 한국영화에 대한 인지도와 관심이 지속적으로 증가하고 있다.
이에 따라 대사관에서 개최하는 한국영화 상영행사에도 더 많은 관객들이 참여하고 있다.",2019.0
14,Guatemala,GT,과테말라,K-뷰티,최근 K-Pop 그룹들의 인기로 아이돌 가수가 광고하는 로드샵 화장품에 대한 관심이 점차 확산되고 있다. 특히 유명 여 아이돌 그룹의 화장과 스타일 등이 한류동호회원들을 중심으로 인기를 끌고 있다. 최근에는 한국 화장품을 수입하여 온라인으로 판매하는 현지인들도 생겨나고 뷰티 유투버들이 한국 뷰티 제품들을 소개하는 경우도 늘어나고 있다.,2019.0
15,Guatemala,GT,과테말라,한식,건강식에 대한 선호도가 높아짐에 따라 한식에 대한 관심도 확산되고 있다. 과테말라시티 내에만 20곳 이상의 한식당이 있으며 식당들에는 한식을 접해보거나 즐기는 현지인들을 쉽게 만나볼 수 있으며 전체 손님 중 현지인들의 비중이 늘어나고 있다. 현지인들이 특히 선호하는 한식 메뉴로는 불고기  잡채  김밥 등이 있다.,2019.0
16,Guatemala,GT,과테말라,K-Pop,K-Pop은 과테말라 국민들  특히 젊은층이 가장 좋아하고 즐기는 한국 문화이며  K-Pop 팬이 된 것으로 계기로 다른 한국문화에도 관심을 가지게 되는 경우가 많다. 특히 최근 BTS  블랙핑크 등 전 세계적 인기의 K-Pop 그룹이 인기를 끌면서 유명 팝음악 전문라디오 채널에서 하루에도 수십차례 K-Pop 유명곡이 흘러나오고 있다. 청소년층을 중심으로 40개 이상의 한국 가수 팬클럽 동호회가 온오프라인에서 활발히 활동 중이며  K-Day 등 K-Pop 및 한류행사를 자체적으로 기획하고 공관의 K-Pop 관련 행사에도 적극적으로 참여하고 있다.,2019.0
17,Guatemala,GT,과테말라,한국어,K-Pop에 대한 애정이 한국에 대한 관심으로 이어지면서 최근 많은 한류동호회원들이 세종학당의 한국어 수업을 수강하고 있다. 이런 인원들이 점점 많아지면서 과테말라시티 세종학당에서 한국어를 배우고자 인원도 젊은 층을 중심으로 계속 증가하고 있다. 2018년 기준 연간 7~800명이 세종학당에서 한국어를 수강하고 있다. 최근에는 한국어뿐만 아니라 문화에 대해서도 배우고자 하는 수요가 늘어나고 있어 세종학당에서도 문화관련 강좌를 늘리고 있는 중이다.,2019.0
18,Guatemala,GT,과테말라,태권도,과테말라 태권도 연맹 자료에 따르면 태권도 수련인구는 전국적으로 6천명 정도이다. 1960년대 후반 과테말라 내 최초의 태권도장이 열리며 태권도에 대한 인식이 점점 확산되어 왔으나  과테말라 태권도연맹의 비협조적인 태도 및 가라데의 인기 등으로 태권도 관련 대회 개최 및 태권도 보급이 기대만큼 이뤄지지 않고 있다. 다만 과거 과테말라가 올림픽 태권도 종목에서 좋은 성적을 거둬 태권도에 대한 인지도는 상당히 높은 수준이라 태권도 확산의 기반은 구비되어 있는 편이다. 공관은 태권도의 획기적인 확산을 위해 공립초등학교내 필수체육과목으로 태권도 포함  우리 태권도 사범의 과테말라 경찰청  육사  경호학교 및 올림픽 대표팀 지도 등을 추진하고 있다.,2019.0
19,Greece,GR,그리스,음악(K-Pop),"그리스의 젊은 세대를 위주로 K-POP에 대한 열기가 거세지고 있다. 방탄소년단(BTS)  EXO 등 남성그룹의 인기가 높으며 여성그룹은 블랙핑크  트와이스가 인기 있다.
K-pop에 대한 인기가 커지면서 2018.5월부터 현지 라디오 방송인 Music89.2 채널(18-24세 대상 청취율 1위)에서 매주 일요일 21:00-22:00 간K-pop을 소개하고 있으며 2019.2월부터 음악전문채널 MAD TV에서 매주 월요일-금요일 20:00-20:30간 K-pop 뮤직 비디오를 상영하고 있다. 또한  그리스의 대형 도서문고인 Public에서는 K-Pop 전문 코너를 설치해 음반 등 관련상품을 판매하고 있다. 한편  주그리스 대사관은 K-Pop의 확산을 위해 2013년부터 매년 <K-Pop 월드 페스티벌>를 개최해 오고 있는데  2013년 제1회 대회개최시 200여명에서 2019년 7월 제7회 대회 개최시에는 약 1 000여명이 참석하는 등 매년 관람객 숫자가 눈에 띄게 늘어나고 있다.",2019.0
20,Greece,GR,그리스,한국어,"K-Pop  한국 영화 등 한국문화에 대한 관심이 증가함에 따라 한국어를 배우려는 그리스인들도 늘고 있다. 현재 한국문화에 심취한 그리스인 100여명이 아테네국립대학의 경우 2017년에 한국어 수강생이 30여명에 불과했으나 올해 100여명으로 3배 이상 급증하였으며  한글학교에서도 70여명이 한국어 학습 중이다. 
그러나 현지에서 한국어 교재를 구하기 어렵고 교육 기자재가 부족하므로 그리스 대학 및 한글학교 교육 기자재 지원 강화  우수학생 방한초청  장학금 지원 등 다양한 노력이 필요하다. 주그리스 대사관은 2013년부터 매년 10월에 한국어능력시험(TOPIK)을 실시하고 있으며  2017년 58명에서 2019년 116명으로 시험 지원자가 중가하고 있다.",2019.0
21,Greece,GR,그리스,한식,"그리스 아테네에는 3개의 한식당이 있다. 한식은 우리 문화의 독창성과 우수성을 보여주기 좋은 소재인 만큼  주그리스대사관은 한국주간행사 등 각종 행사계기에 한식을 소개하는 행사를 개최하고 있다.
주그리스 대사관은 아테네  테살로니키  크레테 등 그리스 각 지역에서 개최하는 한국주간행사 등 주요 행사 계기 지역 유력인사와 한류 팬  지역주민들에게 한식을 소개해오고 있다.
또한  주그리스 대사관은 2018년 12월 요리학교 Le Monde에서 요리학교학생 등 그리스인 40여명을 대상으로 한식 강좌를 개최하였으며  2019년 3월주재국 유수 스포츠 클럽인 Tatoi Club에서 정부인사  경제인 등 현지 그리스인 70여 명이 참석한 가운데 한식 소개 행사를 개최하였다. 2019년 4월 부활절 계기 테베 여성교도소 한식 봉사활동을 진행하여 한식을 통한 공공외교 활동을 강화하고 있다.",2019.0
22,Greece,GR,그리스,태권도,"1968년 Stamatis Kassis에 의해 처음으로 그리스에 소개된 태권도는 1987년 그리스태권도협회(Hellenic Taekwondo Federation)가 설립된 이후에 그리스에 본격적으로 보급되었다. 현재 그리스태권도협회에 등록된 도장은 600여개에 이르며 15만 명이 태권도를 연마하고 있다. 그리스는 2000년 시드니올림픽 이후 지속적으로 올림픽에 태권도 선수단을 파견했으며 시드니올림픽에서 미할리스 무루초스 선수가 금메달을 획득하는 등 역대 통상 4개의 메달을 획득하였다.
또한  그리스는 태권도 대회 유치에도 적극 노력해 1991년 아테네에서 세계태권도선수권대회를 유치한 이래 각종 국제 태권도대회를 개최하고 있다. 2012년 6월에는 유럽청소년태권도대회가 아테네에서 열려 40여 개 유럽국가에서 약3 000명의 태권도 선수 및 관계자들이 참석했다. 2019년 10월 국경일 리셉션에서는 어린이 태권도 시범 공연을 개최하였다.",2019.0
23,Greece,GR,그리스,방송,"한국문화에 심취한 그리스인들은 인터넷을 통해 영어자막이 있는 한국드라마를 시청하는 등 한국 드라마에 대한 관심을 가지고 있다. 주그리스 대사관의 노력과 그리스에 진출한 우리 기업의 지원으로 2013년 9월 테살로니키 지역TV(TV 100)에서 그리스 최초로 한국드라마 <보고싶다>가 방영되었다. TV 100방송국은 이 드라마의 방영 종료 후 연이어 <대장금>을 방영해 테살로니키 및 동북부 그리스에서 한국드라마와 한식 붐을 조성했다.
또한 2016년 말~2017년 초에도 TV100 방송국에서 한국에서도 인기가 높았던 <태양의 후예>를 방영했다. <태양의 후예>는 그리스의 자킨토스  아라호바등 아름다운 자연환경을 배경으로 촬영해 한국은 물론 동아시아에서 큰 인기를 얻은 만큼  그리스에서도 좋은 반응을 얻었으며  한국 드라마를 널리 소개할 수있는 좋은 기회가 된 것으로 평가된다.
한편  “태양의 후예”이외에 2015년 TVN “꽃보다 할배”  2018년 TVN “알쓸신잡 시즌 3”  2019년 JTBC “초콜릿”이 그리스를 배경으로 촬영하여 한국 내그리스 현지에 대한 관심도 높아지고 있다.",2019.0
24,Greece,GR,그리스,영화･다큐멘터리,"한국영화는 그리스 국민의 인기를 끌고 있다. 아테네 국제영화제와 테살로니키 국제영화제에서 한국 영화가 수시로 초청되어 그리스 영화팬들의 열렬한 환호 속에 영화 관람표가 매진될 정도로 성황리에 상영되었다. 2019년 아테네 국제영화제와 테살로니키 국제영화제에서는 봉준호 감독의 “기생충”이 개막작으로 각각 상영되었다.
주그리스 대사관은 한국국제교류재단 <비주얼 코리아> 사업의 일환으로 2016년부터 매년 ‘아테네 한국영화제’를 비롯해 그리스 전역에 한국 영화 소개행사를 적극 개최하여 한류 확산에 기여하고자 노력하고 있다. 
한편  SBS 특별다큐멘터리 “방랑식객”이 2020년 1월 아테네에서 상영될 예정이다.",2019.0
25,Nigeria,NG,나이지리아,드라마,"한류드라마 <대장금>이 나이지리아 최초로 2008년 7월 20일부터 매주 일요일 저녁 나이지리아 민영방송인 AIT TV에서 방영되었다. <대장금>이 방영된 후 한류드라마가 많은 인기를 모았으며 한국인 가정에서 일하는 젊은 여성들이 매우 좋아해 이들을 통해 드라마가 홍보되기도 했다. 
이러한 한류드라마의 인기에 힘입어 2010년부터 2014년 10월까지 나이지리아 최대 국영 TV인 NTA TV에서 <겨울연가>  <내 이름은 김삼순>  <마지막 스캔들> 및 <성균관 스캔들>이 주 2회 연이어 방영되었다. 또한 같은 기간에 민영방송 AIT TV에서도 <바람의 화원>  <내 이름은 김삼순>과 <마지막 스캔들>을인기리에 방영했다. 2015년~2016년 상반기에는 NTA TV채널에서 <일지매>  <드림하이>  <굿닥터>  <착한남자>를 방영했고  2018년~2019년에는 NTA 엔터테인먼트 채널에서 <태양의 후예>  <또! 오해영>을 방영하였다. 한국문화원은 시청자들의 반응을 지속적으로 드라마 지원정책에 반영하고 있다.",2019.0
26,Nigeria,NG,나이지리아,영화,"나이지리아 수도 아부자에서 2010년 8월 16일부터 20일까지 ‘제1회 한국 영화제’가 개최되어 처음으로 한국 영화를 소개하는 시간을 가졌다. 아부자 실버버드 엔터테인먼트 극장에서 <국가대표>  <영화는 영화다>  <황진이>  <왕의남자>  <식객> 등 5편을 상영했다.
2014년에는 나이지리아 ‘날리우드’의 본고장인 라고스 Genesis DeluxeCinemas에서 11.11~13까지 개최하였고  <미녀는 괴로워>  <전우치>  <8월의크리스마스>  <킹콩을 들다> 4편을 상영하였으며  총 786명이라는 역대 최다관람인원을 기록했다. 관람객 설문조사 결과 “나이지리아 영화산업도 한국의 높은 기술력과 문화수준을 배워야 한다”라는 의견이 나오기도 했다. 2015년~2016에는 수도 아부자 실버버드 극장에서 한국문화축제 기간 중 개최하여 한국문화주간으로의 역할을 하였고  2017년에는 라고스 제네시스 극장에서 한국음식 시식 및 한국의 인기 인스턴트 상품전시회와 같이 영화제를 개최하였는데  한국음식에 대한 방문객들의 큰 인기는 물론  주재국 영화감독이 참석해 한국 영화 관계자들을 만나 같이 영화제작 워크숍 및 공동제작을 희망하는 등 영화제작 기법에 대해서도 큰 관심을 받은 바 있다  2019년에는 제10회째 한국영화제를 맞이하여 <메리크리스마스 미스터모>  <사도>  <굿바이싱글> 3편을 아부자실버버드 극장에서 개최할 예정이다. 한국영화제와 별도로 나이지리아에 주재하고 있는 10여개 아시아국가 대사관들이 모여 2017년부터 아시안영화제를 개최해오고 있으며  2018년에 개최된 제2회 아시안영화제는 한국문화원에서 개최되어 당시 문화원 전시장 리모델링 후 개방식 일정을 맞춤으로써 많은 외교단 및 방문객들에게 문화원 홍보를 효과적으로 하는 계기가 되었다.",2019.0
27,Nigeria,NG,나이지리아,K-Pop,"주재국 젊은이들은 빠른 템포의 음악과 다이내믹한 율동을 선호하는 측면이 있어 빅뱅  슈퍼주니어  인피니트  BTS 등 파워풀한 K-Pop 스타들을 좋아한다. 나이지리아 한국문화원이 2010년 5월에 개원한 후 2012년 처음으로 남자 15 명  여자 15명의 한국문화원 K-Pop 팀을 구성해 문화원에서 주관하는 각종 행 사의 공연을 맡았다. 특히 K-Pop 로드 페스티벌에 참가해 온라인 경쟁 부문 세계 1위를 차지해 서울 본선대회에도 참가한 바 있다. 
2012년에는 3월 1일부터 문화원 주관으로 ‘제1회 K-Pop 댄스대회’를 개최 했다. 이 행사에는 고등부 및 성인부의 총 19개 팀이 참가하여 열띤 경쟁을 벌 였으며  성인부 최우수팀 ‘엘리베이터즈’는 한국 본선에서 3위로 입상하는 성과를 거뒀다. 
2013년과 2014년 및 2015년에는 한국문화원과 국영방송인 NTA TV공동으로 주관하여 대회 전 과정을 엔터테인먼트 채널로 중계함으로써 주재국에K-Pop을 널리 알리는데 기여하였다. 특히  2015년 나이지리아 지역 예선 2위팀 ‘퍼시픽 스타즈(Pacific Starz)’가 창원에서 열린 한국 본선에서 세계 80여국에서 예선을 거친 쟁쟁한 14개 팀을 제치고 ‘대상’을 차지했으며 2016년도에는 ‘수프림 태스크(Supreme Task)’팀이 창원 본선 대회에서 ‘최우수상’을 수상해 한국 관계자들을 놀라게 했고  2017년에도 전세계 72개국 88개팀 중 13팀을 선정하는 본선참가팀에 선정되었다.
2014년 11월부터는 아리랑TV의 ‘Simply K-Pop’ 프로그램이 NTA TV엔터테인먼트 채널에서 매주 3회 정기적으로 방영되어 주재국 한류 팬들이 보다 쉽게 K-Pop을 시청할 수 있게 되었다. 이러한 문화원의 노력과 싸이의 ‘강남스타일’의 영향으로 미디어와 스마트폰이 보급된 대도시를 중심으로 K-Pop의 인기가 크게 확산되었다.
특히  2015년 문화원 주관 K-Pop 경연대회 우승팀인 ‘T-SOD’ 멤버들이 자신들이 거주하는 카두나 지역에서 주 정부와 협력하여 현지 청소년 대상으로 소규모 K-Pop대회를 개최함으로써 K-Pop콘텐츠가 지역의 자생적인 문화행사로자리 잡기도 했다.
2019년에는 처음으로 수도 아부자를 벗어나 주재국 최대 상업지역인 라고스에서 K-POP 댄스대회를 개최해 수많은 관람객들이 찾았고  행사를 개최했던 라고스대학교에서 이틀간 K-POP 댄스 배우기 특별강좌를 개최해 현지 젊은이들에게 큰 호응을 얻었다.",2019.0
28,Nigeria,NG,나이지리아,한식,"많은 한국 드라마의 영향으로 한식에 대해 좋은 이미지를 갖고 있으나 아직 한식당이나 한국식재료를 구입할 수 있는 마트 등이 없어 현지인들이 한국 음식을 실제 접하기 힘들다. 
대사관과 문화원은 서부아프리카 최초로 2012년 10월에 코리안 푸드위크를 개최한데 이어 2013년과 2015년 이후부터는 매년 대대적으로 한국문화축제(공 연  한식  영화)를 개최해 외교단 및 주재국 관계자들을 대상으로 한식 설명과 시식회  한식뷔페 제공  호텔 한식판매  한식워크숍 등 행사를 통하여 나이지리 아에 한식의 우수성을 알리고 저변을 확대하는 성과를 거두고 있다. 
2018년 11월 14일 한국문화축제 행사를 통해 김밥  잡채  불고기  전 등 한국음식을 집중 소개했다. 2019년에는 아부자 트랜스콥 힐튼호텔 아시안레스토 랑에서 한식메뉴를 선보일 계획이다",2019.0
29,Nigeria,NG,나이지리아,태권도,"태권도는 나이지리아에서 가장 인기 있는 한류 브랜드 중 하나이다. 전국에 태권도를 배우는 인구가 30만 명  태권도 클럽이 500여개가 되고 태권도 유단 자가 2만여명에 이른다. 특히 치카 추쿠메리제(Chika Chukwumerije) 선수가 2008년 베이징올림픽 무제한급에서 동메달을 딴 후 태권도 인구가 급증하고 있 다. 이러한 인기에 힘입어 주재국 체육부에서는 복싱  레슬링  육상 등과 함께 태권도를 5대 중점전략종목으로 선정하고  한국 태권도 사범을 초청하는 등 지원을 확대하고 있다. 
문화원에서도 매년 대사배 태권도대회를 개최하고 있으며  문화원에서 어린이 태권도교실을 주 4회 운영하고 있다. 특히 주재국 초･중등교육위원회와 공동으로 총 4개의 태권도 시범학교를 지정해 운영하고 있다.",2019.0
30,Nigeria,NG,나이지리아,한국어,"한국문화원에서는 2010년부터 초급반과 중급반 한국어 과정을 운영하고 있다. 월요일부터 목요일까지 매일 오후 5시30분부터 7시30분까지 급수별 수업을하고 있으며  2019년 현재 초급반은 2개반 60여명이 등록되어 있고  중급반은30명이 등록되어 한글을 공부하고 있다. 현재 문화원 한글강좌는 행정직원들이 임시적으로 강의를 하고 있으나  향후 전문 교원이 파견될 예정이다.
현재까지 한글강좌 수강인원은 900여 명 수준이다. 최근 젊은 층을 중심으로 K-Pop  K-드라마  K-영화 등 한류의 영향으로 한국문화에 대한 관심이 증가하면서 한국의 대학교에 진학하고 싶어 한국어교실을 찾는 사람들이 늘어나고있다. 한국문화원은 매년 6월에 한국어 말하기대회를 개최하고 있으며 최고수상자 1명에게는 세종학당재단에서 지원하는 우수학습자 연수프로그램을 통해 한국을 방문해 문화체험을 할 수 있는 기회를 제공하고 있다.",2019.0
31,Nigeria,NG,나이지리아,기타 산업 파급효과,"나이지리아 내 한류가 현재 확산단계에 있으나  열악한 문화 인프라와 대다수 절대 빈곤층으로 인하여 아직 한류 연관 산업의 수출로 이어지지는 않고 있다. 그러나 최근 나이지리아가 남아프리카공화국을 제치고 아프리카 1위의 경제대국으로 성장하고 있어  미래 전망은 밝다고 할 수 있다. 한국 문화원은 한류이미 지가 연관 산업에 긍정적인 영향을 끼칠 수 있도록 노력하고 있다. 
매년 11월에 한국문화축제 개막식 겸 국경일 리셉션을 개최하면서 삼성전자 와 LG전자가 TV  스마트폰  가전 등 첨단제품을 선보이는 한편  현대&기아자 동차의 신차도 함께 전시해 우리 진출기업의 홍보에도 성과를 거두고 있다.",2019.0
32,Nigeria,NG,나이지리아,최근 주요 행사,매월 셋째주 수요일에 한국문화의 날을 정해 드라마나 영화를 통해 알고 있는 생활 속 한국문화 소재를 선정해 그에 관한 역사나 현상에 관한 프리젠테이션 및 체험활동  전시 등의 형태로 진행하고 있다. 한국문화의 날 행사 외에도2019년 상반기에는 3.1운동 및 대한민국 임시정부수립 100주년을 맞아 사진전을 비롯  다채로운 행사를 개최했는데  ‘독립’을 주제로 역대 시쓰기 대회에서수상한 수상자들을 대상  시쓰기 대회를 개최하였고  유관순 열사의 내용을 토대로 연극을 제작해 시쓰기대회 시상식에서 축하공연으로 상연하였다. 올해는제9회 초등학생 그림그리기 대회(5월)를 아부자의 밀레니엄 공원에서 개최해 학생들의 뜨거운 호응을 얻었다  그 외 코리아넷 명예기자단 발대식(5월)  한국어말하기대회(6월)  K-Pop댄스대회(7월) 등을 개최하였다. 9월에는 주재국민들을접점에서 만나기 위해 시내 중심지 3곳에서 게릴라성 스트리트 페스트벌을 개최하여 한국문화원 홍보를 시도했고  K-Pop댄스 특별강좌(6~8월) 및 장구강좌(라고스 연중)  한국문화 퀴즈대회(9월)를 개최해 대사배태권도챔피언십(10월) 제2회 한국어능력검정시험 토픽(TOPIK)실시(5월)  K-서포터즈대회(11월)  한국영화제(12월)  10개국 아시아영화제 참가(12월) 오는 11월 12일에는 국경일리셉션 계기 <한국문화축제> 행사를 통해 한류공연  한식소개  기업체 상품전시등 한류문화를 나이지리아 국민들에게 종합적으로 소개할 계획이다.,2019.0
33,South Africa,ZA,남아프리카공화국,드라마,젊은 층 사이에서 유투브 채널 등을 통한 무료 콘텐츠 공유가 활발해 한국 드라마를 접하는 경우가 늘어나고 있다. 한국 드라마는 케이팝의 인기가 올라감에 따라 함께 관심을 받게 되었으며 남아공 주변 국가에서도 기존 한국 드라마에 대한 관심이 늘어났다. 최근 에스와티니 공영 방송을 통해서 한국 드라마 두편이 방영되었으며 긍정적인 평가를 받았다.,2019.0
34,South Africa,ZA,남아프리카공화국,영화,더반 영화제  케이프타운 영화제 등 남아공이 주최하는 주요 국제영화제에 한국영화가 꾸준히 출품되는 등 영화 전문가들 사이에는 한국 영화의 우수성에 대해 알려져 있다. 2014년 이후 현지 영화학교(Open Windows Film Art)와 대사관 공동으로 매년 Korean Film & Food Festival을 개최하여 한국영화를 꾸준히 소개하고 있으며 대사관에서도 매월 ‘한국영화의 밤’을 개최하여 우수 한국영화와 한식을 소개하고 있다. 2019년에는 남아공 최대 배급사인 스터키네코어사의 전국 영화관에서 ‘기생충’을 개봉하였다.,2019.0
35,South Africa,ZA,남아프리카공화국,K-Pop,한류 중에서 가장 많이 알려진 것이 K-Pop이다. 학생층과 원어민강사 출신 등 한국을 알고 있는 젊은 층에서 K-Pop 애호가들이 형성되던 단계에서 나아가 2018년부터 방탄소년단 아이돌 그룹의 팬클럽 동호회가 SNS를 중심으로 남아공에도 급격히 늘어났다.,2019.0
36,South Africa,ZA,남아프리카공화국,한식,주요 도시인 요하네스버그  프레토리아  케이프타운  더반을 중심으로 여러개의 한식당과 한국 슈퍼가 있으며 현지인들에게도 인기가 많다. 남아공에서는 공원 등에서 야외 마켓이 자주 열리는 편인데 이때 건강식품으로 김치가 소개되기도 한다.,2019.0
37,South Africa,ZA,남아프리카공화국,한국어,한류에 대한 관심이 늘어감에 따라 K-Pop 팬들  유학을 희망하는 학생들  태권도 수련생  한국에서 원어민 영어교사 경험자 등 다양한 계층을 중심으로 한국어 학습을 희망하는 학생들이 지속적으로 증가하고 있다. 남아공 주변국 보츠와나에서는 2019년 1월 세종학당이 생겼는데 1년동안 150명이 넘는 학생들이 등록하고 한국어를 배우고 있다.,2019.0
38,South Africa,ZA,남아프리카공화국,K-뷰티,패션  뷰티업계에서는 케이뷰티의 인기를 반영하여 관련 기사와 제품을 출시하고 있다. <코스모폴리탄 남아공> 잡지에서 한국식 피부 관리 방법과 한국 여성들이 주로 쓰는 제품들을 6페이지에 걸쳐 소개하였고  8월 인터넷 뉴스에서는 케이뷰티가 흑인 여성의 피부에 적합한지에 대한 분석 기사가 나왔다. 최근에는 케이뷰티 제품을 판매하는 남아공 회사들도 늘어나고 있다.,2019.0
39,Netherlands,NL,네덜란드,K-Pop,네덜란드에 부는 K-Pop 열풍은 2018년 BTS(이하 방탄소년단)의 암스테르담 단독 콘서트에서 확인할 수 있었다. 2018년 8월 13일 암스테르담시에 위치한 Ziggo Dome에서 월드투어 ‘러브 유어셀프(LOVE YOURSELF)’ 콘서트가 열렸다. 1만 7천여석이 30분 만에 매진될 정도로 네덜란드 내 방탄소년단의 인기는 뜨거웠다. 이를 계기로 K-Pop의 열기가 네덜란드 내 주요 방송 및 일간지에 의하여 소개되기도 하였다.,2019.0
